0,0
-1,0
1,0
0,1
0,-1
1,1
-1,-1
1,-1
-1,1
-2,0
2,0
0,2
0,-2
2,2
-2,-2
2,-2
-2,2
-3,0
3,0
0,3
0,-3
3,3
-3,-3
3,-3
-3,3
125,125
124,125
126,125
125,126
125,124
126,126
124,124
126,124
124,126
123,125
127,125
125,127
125,123
127,127
123,123
127,123
123,127
122,125
128,125
125,128
125,122
128,128
122,122
128,122
122,128
250,250
249,250
251,250
250,251
250,249
251,251
249,249
251,249
249,251
248,250
252,250
250,252
250,248
252,252
248,248
252,248
248,252
247,250
253,250
250,253
250,247
253,253
247,247
253,247
247,253
375,375
374,375
376,375
375,376
375,374
376,376
374,374
376,374
374,376
373,375
377,375
375,377
375,373
377,377
373,373
377,373
373,377
372,375
378,375
375,378
375,372
378,378
372,372
378,372
372,378
500,500
499,500
501,500
500,501
500,499
501,501
499,499
501,499
499,501
498,500
502,500
500,502
500,498
502,502
498,498
502,498
498,502
497,500
503,500
500,503
500,497
503,503
497,497
503,497
497,503
